transaction_id,product_id,category,price,quantity
0,1010330830,home appliances,5179.74,1
1,1885165556,baby products,2609.635,2
2,1237834564,jewelry,4574.733,9
3,1237834564,jewelry,5502.274,2
4,1921453446,jewelry,7767.734,4
5,1921453446,jewelry,3806.595,9
6,1010330830,home appliances,5729.502,6
7,320667000,footwear,6766.985,7
8,2053978551,video games,8249.865,6
9,515042145,pet supplies,3056.293,7
10,1885165556,baby products,1106.912,9
11,2053978551,video games,7734.666,9
12,1884492587,electronics,2908.845,9
13,515042145,pet supplies,8318.794,1
14,1237834564,jewelry,8183.847,5
15,76882415,video games,1523.812,3
16,1885165556,baby products,1279.915,1
17,1921453446,jewelry,8040.839,2
18,1921453446,jewelry,2370.831,9
19,368717182,electronics,7862.165,3
20,1430969612,music instruments,2984.762,9
21,1376357188,beauty products,649.536,3
22,91641199,office equipment,8989.402,5
23,1430969612,music instruments,9453.102,8
24,1185554942,toys,897.279,2
25,1039173955,beauty products,7082.392,4
26,1117048122,baby products,459.087,5
27,1010330830,home appliances,1371.292,3
28,1512325036,automotive,5740.664,3
29,1039173955,beauty products,1525.733,8
30,2129864628,footwear,5564.145,1
31,2053978551,video games,8899.647,3
32,1627783656,home appliances,7388.484,2
33,1921453446,jewelry,9035.18,3
34,342008550,jewelry,4008.467,8
35,1517526913,furniture,487.975,5
36,598824495,jewelry,1180.944,5
37,1430969612,music instruments,9787.594,9
38,342008550,jewelry,7322.38,2
39,1917964150,toys,590.924,8
40,515042145,pet supplies,4147.98,5
41,745766330,books,2743.141,9
42,1093079540,sports equipment,6270.997,2
43,1430969612,music instruments,4569.835,6
44,1917964150,toys,6284.831,8
45,1587427526,music instruments,5633.967,8
46,1885165556,baby products,6553.078,3
47,598824495,jewelry,3781.602,4
48,1016480002,footwear,130.657,9
49,1016480002,footwear,1985.401,4
50,1455491334,video games,9605.906,9
51,516361140,office equipment,8872.059,2
52,516361140,office equipment,537.162,8
53,320667000,footwear,2316.488,3
54,2053978551,video games,7852.23,3
55,1849428425,baby products,7868.554,8
56,2111937750,sports equipment,910.486,4
57,1949208735,groceries,4124.241,5
58,1117048122,baby products,6147.235,9
59,1093079540,sports equipment,6280.216,5
60,1307369248,home appliances,7066.009,4
61,91641199,office equipment,846.985,7
62,1698677673,home appliances,7371.809,6
63,1117048122,baby products,3200.166,1
64,1885165556,baby products,1406.058,1
65,1947479219,jewelry,4814.902,3
66,1117048122,baby products,9806.892,4
67,1627783656,home appliances,5954.457,6
68,307449012,home appliances,7908.914,8
69,1242752305,baby products,9409.309,7
70,789434681,gardening tools,7931.25,1
71,627700727,beauty products,9426.974,8
72,716063076,clothing,4990.365,4
73,1242752305,baby products,9936.521,7
74,1587669959,sports equipment,5999.603,1
75,231384719,beauty products,3138.955,8
76,1430969612,music instruments,3231.311,5
77,1824114785,health & wellness,9769.937,6
78,1016480002,footwear,2062.374,1
79,541742487,music instruments,7016.511,9
80,1999888062,footwear,7642.511,5
81,233371097,sports equipment,4795.782,2
82,233371097,sports equipment,6398.512,1
83,398363048,stationery,4201.619,1
84,1949208735,groceries,3229.418,8
85,745766330,books,8129.089,1
86,439077726,pet supplies,5046.014,5
87,1376357188,beauty products,6522.858,8
88,2111937750,sports equipment,7015.922,4
89,439077726,pet supplies,2600.308,2
90,1698677673,home appliances,7573.908,1
91,1859794132,gardening tools,3428.538,8
92,398363048,stationery,6085.949,8
93,1917964150,toys,2388.441,4
94,745766330,books,3700.399,5
95,233371097,sports equipment,5194.945,4
96,1185554942,toys,3057.968,4
97,342008550,jewelry,2598.282,2
98,2120222751,books,876.802,6
99,1378417399,clothing,8145.307,9
100,1949208735,groceries,8382.536,1
101,1536090479,pet supplies,3071.079,9
102,1832263917,books,7745.392,2
103,1430969612,music instruments,623.374,4
104,368717182,electronics,9151.659,8
105,1368404620,health & wellness,8535.014,1
106,1368404620,health & wellness,535.825,3
107,1793652669,health & wellness,4929.883,8
108,1587427526,music instruments,2497.22,6
109,1016480002,footwear,965.774,2
110,320667000,footwear,594.094,3
111,1608433198,video games,3736.332,2
112,1032965138,baby products,4326.852,1
113,1421227906,beauty products,4653.397,7
114,1032965138,baby products,3507.894,2
115,993490103,video games,3924.451,7
116,627700727,beauty products,7968.567,3
117,1039173955,beauty products,9380.353,6
118,76882415,video games,2653.587,1
119,69884080,automotive,8065.495,1
120,1557222894,clothing,2717.273,9
121,444686510,pet supplies,8233.011,4
122,995511781,books,6878.535,5
123,1698677673,home appliances,4556.864,9
124,1025351264,health & wellness,9285.438,8
125,1801901149,furniture,4713.802,4
126,1949208735,groceries,9849.912,2
127,1829394966,health & wellness,9478.869,4
128,1025351264,health & wellness,1787.295,2
129,1137063823,jewelry,7347.786,6
130,1921453446,jewelry,829.832,5
131,1906125674,books,4715.614,7
132,1420041258,clothing,4540.145,7
133,427994240,automotive,4560.675,1
134,1368404620,health & wellness,2187.119,3
135,1104919492,home appliances,7601.974,5
136,1698677673,home appliances,7458.018,9
137,1104919492,home appliances,6060.194,7
138,1421227906,beauty products,7787.899,8
139,231384719,beauty products,4630.871,4
140,1999888062,footwear,6419.855,3
141,2045636758,furniture,5934.575,9
142,1829394966,health & wellness,7200.655,1
143,678548824,home appliances,7692.243,7
144,1376357188,beauty products,9705.123,6
145,1793652669,health & wellness,1793.437,5
146,398363048,stationery,7596.691,3
147,928141401,groceries,7295.297,9
148,1627783656,home appliances,2054.81,6
149,1368404620,health & wellness,5452.142,7
150,1921453446,jewelry,6269.059,2
151,1846131818,beauty products,6544.507,9
152,1906125674,books,3914.526,4
153,1517526913,furniture,8879.979,1
154,477742091,clothing,1128.968,9
155,1906423872,clothing,2600.192,8
156,1833073129,home appliances,3673.253,5
157,778192306,office equipment,7561.939,9
158,1117048122,baby products,3436.659,4
159,1917964150,toys,3122.847,8
160,69884080,automotive,5620.296,8
161,1608433198,video games,5679.772,5
162,678548824,home appliances,4338.627,6
163,2033551700,automotive,6637.427,2
164,994361990,automotive,1156.882,2
165,1137063823,jewelry,7105.515,8
166,444686510,pet supplies,2067.933,1
167,500907518,health & wellness,1916.063,6
168,1627783656,home appliances,5259.479,3
169,1627783656,home appliances,707.229,5
170,598824495,jewelry,1247.388,3
171,477742091,clothing,6720.164,6
172,1517526913,furniture,9683.379,3
173,1906423872,clothing,3824.183,4
174,1859794132,gardening tools,930.039,8
175,1286482790,clothing,8435.718,8
176,483712993,clothing,6714.15,5
177,1117048122,baby products,4448.72,1
178,1587427526,music instruments,6910.859,6
179,91641199,office equipment,567.139,3
180,1367403720,home appliances,7601.064,3
181,1185554942,toys,5124.68,6
182,994361990,automotive,3591.952,1
183,1442158189,books,4653.13,5
184,444686510,pet supplies,215.294,6
185,1992676486,home appliances,7605.057,3
186,91641199,office equipment,3862.192,6
187,627464400,automotive,5110.376,2
188,1455491334,video games,7034.42,3
189,239697781,furniture,5692.881,9
190,627464400,automotive,4827.784,3
191,2129864628,footwear,6435.894,2
192,1713696794,furniture,2292.549,9
193,1780358863,clothing,2011.335,4
194,368717182,electronics,8138.207,1
195,1142896841,groceries,5267.379,5
196,69884080,automotive,1407.957,5
197,1801384368,pet supplies,3974.535,1
198,210937148,books,7740.328,2
199,444686510,pet supplies,2549.472,5
200,1043125479,health & wellness,7565.488,4
201,762545431,health & wellness,3696.112,8
202,679238885,stationery,3314.369,4
203,1699583141,health & wellness,5249.334,6
204,69884080,automotive,5110.405,6
205,1215912223,beauty products,5169.694,8
206,1116371035,home appliances,3593.343,1
207,1104919492,home appliances,4189.404,2
208,698408037,office equipment,8518.652,5
209,1032965138,baby products,5050.755,6
210,1997882693,pet supplies,9165.694,7
211,1424908558,clothing,405.982,7
212,1713696794,furniture,8292.834,7
213,1810288165,clothing,4512.361,5
214,1849428425,baby products,5522.146,7
215,901920682,clothing,2094.035,3
216,76882415,video games,5744.609,5
217,1104919492,home appliances,7439.491,5
218,91641199,office equipment,4033.366,5
219,1378417399,clothing,1718.878,1
220,69884080,automotive,1747.746,1
221,1713696794,furniture,4781.27,5
222,148414446,furniture,1063.259,1
